numdomains,ipscount,ipsv4count,ipsv6count
5239,0,0,0
1,1,0,1
10336,1,1,0
1,2,0,2
503,2,1,1
200634,2,2,0
6355,3,2,1
64209,3,3,0
38273,4,2,2
7913,4,3,1
38681,4,4,0
2,5,2,3
764,5,3,2
472,5,4,1
4095,5,5,0
8135,6,3,3
824,6,4,2
132,6,5,1
826,6,6,0
3272,7,4,3
129,7,5,2
20,7,6,1
305,7,7,0
19478,8,4,4
113,8,5,3
45,8,6,2
4,8,7,1
81,8,8,0
897,9,5,4
53,9,6,3
20,9,7,2
1,9,8,1
7,9,9,0
2825,10,5,5
183,10,6,4
7,10,7,3
21,10,8,2
40,10,9,1
9,10,10,0
51,11,6,5
4,11,7,4
7,11,8,3
2,11,9,2
1,11,10,1
1,11,11,0
983,12,6,6
11,12,7,5
11,12,8,4
9,12,9,3
3,12,10,2
16,12,12,0
698,13,7,6
1,13,8,5
5,13,9,4
1,13,12,1
6,13,13,0
20,14,7,7
12,14,8,6
13,14,9,5
1,14,10,4
1,14,11,3
1,14,12,2
2,14,14,0
31,15,8,7
2,15,9,6
1,15,10,5
14,15,12,3
1,16,7,9
39,16,8,8
3,16,9,7
5,16,10,6
1,16,13,3
41,16,14,2
229,16,16,0
29,17,9,8
1,17,11,6
2,17,17,0
14,18,9,9
6,18,10,8
1,18,12,6
37,18,16,2
6,19,10,9
2,19,14,5
1,20,14,6
1,20,15,5
39,21,11,10
6,22,13,9
1,22,18,4
2,22,20,2
3,23,12,11
1,23,14,9
2,24,12,12
1,24,16,8
2,24,20,4
48,25,13,12
1,26,13,13
28,27,14,13
1,34,18,16
