numdomains,ipscount,ipsv4count,ipsv6count
5145,0,0,0
8705,1,1,0
3,2,0,2
2426,2,1,1
212916,2,2,0
1,3,0,3
1,3,1,2
6300,3,2,1
69098,3,3,0
43851,4,2,2
2728,4,3,1
45744,4,4,0
3,5,2,3
789,5,3,2
5572,5,4,1
2454,5,5,0
9406,6,3,3
770,6,4,2
54,6,5,1
481,6,6,0
1,7,3,4
3508,7,4,3
202,7,5,2
19,7,6,1
113,7,7,0
25826,8,4,4
91,8,5,3
67,8,6,2
2,8,7,1
111,8,8,0
938,9,5,4
62,9,6,3
50,9,7,2
4,9,8,1
16,9,9,0
2824,10,5,5
224,10,6,4
8,10,7,3
17,10,8,2
39,10,9,1
34,10,10,0
71,11,6,5
6,11,7,4
13,11,8,3
11,11,9,2
1,11,10,1
1,11,11,0
1798,12,6,6
12,12,7,5
14,12,8,4
8,12,9,3
3,12,10,2
8,12,12,0
942,13,7,6
2,13,8,5
5,13,9,4
1,13,10,3
2,13,11,2
1,13,12,1
4,13,13,0
1,14,6,8
22,14,7,7
19,14,8,6
11,14,9,5
1,14,12,2
30,14,14,0
29,15,8,7
2,15,9,6
1,15,10,5
16,15,12,3
46,16,8,8
3,16,9,7
4,16,10,6
1,16,13,3
211,16,16,0
27,17,9,8
1,17,10,7
5,17,17,0
10,18,9,9
6,18,10,8
1,18,12,6
35,18,16,2
6,19,10,9
1,19,11,8
3,19,14,5
6,20,10,10
1,20,11,9
14,20,12,8
1,20,14,6
1,20,15,5
36,21,11,10
1,21,14,7
1,22,18,4
3,23,12,11
1,23,14,9
2,24,12,12
1,24,16,8
2,24,20,4
45,25,13,12
1,26,13,13
26,27,14,13
1,32,32,0
3,33,33,0
1,34,18,16
